subject_id,beta2_rl,beta_equiv_ddm,a_rlddm,vmod_rlddm
sub1,6.5103348,14.05287585008832,1.9165216,3.6662451
sub10,2.0997897,4.6512176769369,2.2850445,1.0177521
sub100,1.4613336,3.7537338483069034,2.6837503,0.69934484
sub101,2.2879801,6.2742256965887995,2.1212288,1.478913
sub102,1.6553117,4.97800274512528,3.0135352,0.8259407
sub103,0.30665983,1.369885662421056,2.1677722,0.31596624
sub104,5.5536582,9.282321504527758,1.9966011,2.3245308
sub105,4.372049,8.56313607117268,2.0316601,2.1074234
sub106,1.9348894,10.438025514991919,2.7935553,1.8682332
sub107,2.8989239,7.43964291624036,2.3412106,1.5888453
sub108,1.8112581,4.9989548834,1.8338059,1.363
sub109,4.9107908,13.88418765561744,1.7079177,4.0646536
sub11,0.93206999,2.6210116102329284,2.4383278,0.53746088
sub110,1.6450755,4.562621958929242,2.6426969,0.86325109
sub111,2.9744718,6.470344344715199,1.8198568,1.777707
sub112,0.62989027,1.800146811386792,2.4326852,0.36999173
sub113,0.63371907,2.173198250403504,1.8097764,0.60040518
sub114,3.6259823,6.89142354769716,2.0411057,1.6881594
sub115,7.0298855,11.610437249977721,2.4934349,2.3282014
sub116,4.5756685,7.7513807989139005,2.5572097,1.5155935
sub117,4.0003916,8.51457140005536,1.6120191,2.6409648
sub118,4.4085934,13.586548322476398,2.0837101,3.260182
sub119,3.123153,7.047710717260499,2.4490053,1.4388925
sub12,3.7208522,8.6537354336835,2.2070355,1.9604885
sub120,1.1548814,3.4074543528475405,1.879463,0.90649679
sub121,1.1989641,6.58203489600118,1.6402397,2.0064247
sub122,4.7898003,9.126321175623598,1.886391,2.4189898
sub123,2.5106262,7.06235541401632,1.9479703,1.8127472
sub124,4.2207567,8.94759624021096,1.6082379,2.7818012
sub125,3.9198611,10.28042356972704,2.3454544,2.1915633
sub126,2.8459394,7.67558144205468,2.0258406,1.8944189
sub127,3.8024624,8.3703098464195,2.0729675,2.0189197
sub128,1.9898089,6.83241357480308,1.8855971,1.8117374
sub129,3.2693607,8.929532776950941,2.1166903,2.1093149
sub13,2.8477587,6.61906894766004,2.4316398,1.3610299
sub130,3.1275883,9.22821513390612,2.5604051,1.8021006
sub131,3.0889427,6.3764112883471995,1.4391605,2.2153232
sub132,3.2455944,7.06411947244122,2.2554693,1.5659977
sub133,3.1758677,7.731086909262101,2.2723273,1.7011385
sub134,3.7203729,9.2003547480549,2.2237469,2.0686605
sub135,2.8028288,6.7110574712176,1.917002,1.7504044
sub136,4.2610247,11.63601485774276,1.7489386,3.3265933
sub137,2.3332499,5.52797169527736,2.7000603,1.0236756
sub138,1.8188507,3.7912375355059442,2.4153057,0.78483596
sub139,3.9677897,11.14747074686388,1.8856578,2.9558573
sub14,3.8817379,7.9871191422839996,2.5756758,1.55049
sub140,4.2162086,9.37980925939776,2.2911506,2.0469648
sub141,2.7532717,8.245289668284219,2.0604907,2.0008073
sub142,2.7478853,4.8413716674824006,2.1541027,1.123756
sub143,5.9456807,15.212321634288239,2.0911212,3.6373601
sub144,3.949122,6.948252442097759,2.2708052,1.5299094
sub145,3.7355545,8.94122004655178,1.9303583,2.3159483
sub146,1.5961548,6.28389356013872,2.7935848,1.1247007
sub147,1.6591508,3.69469540390716,1.4524359,1.2718962
sub148,5.4698858,9.56292508375168,2.1574676,2.2162384
sub149,3.5686976,6.35772358282656,1.6010252,1.9855164
sub15,0.64900192,2.021695888242416,2.2662746,0.44603948
sub150,5.487308,12.868368814404901,2.2695495,2.8350051
sub151,2.4679267,6.81142575454656,1.8094216,1.8822108
sub16,6.1259265,11.62112078004696,2.0948382,2.7737514
sub17,0.72660618,8.3757872381418,2.2149126,1.8907715
sub18,2.2312814,7.80630912163072,2.7141187,1.4380928
sub19,1.9380543,5.8096655327525,1.8802625,1.5449081
sub2,2.5681418,6.0732689513838,1.7804845,1.7055102
sub20,1.9678761,9.0895890837428,2.3454934,1.937671
sub21,4.3789713,8.846116440071519,2.2377547,1.9765608
sub22,2.7922382,6.6739259330212,2.5542139,1.306454
sub23,2.7558167,6.58622554524088,2.4370388,1.3512763
sub24,1.7391527,4.4664322217688,1.6140392,1.3836195
sub25,1.2104697,3.873378575961108,2.7025398,0.71661823
sub26,0.91791893,2.70500597841243,2.5416055,0.53214513
sub27,6.0518639,13.377236979483998,2.518684,2.6556005
sub28,2.6715406,6.8782119323429,1.7047181,2.0174045
sub29,1.0557654,5.5676574595121595,2.3452892,1.1869874
sub3,1.7027523,4.268925082084416,2.2972832,0.92912469
sub30,1.535404,3.8565960613493444,2.3300176,0.82758947
sub31,1.5767766,4.6571695107608795,2.1518467,1.0821332
sub32,2.02584,7.5793655807924605,2.7801553,1.3631191
sub33,2.0746975,6.1629056012764805,1.8357948,1.6785388
sub34,4.1074587,11.08551624136674,2.1942993,2.5259809
sub35,4.2310659,9.35806026779568,2.1677423,2.1584808
sub36,3.2840514,7.534616675264001,2.6987996,1.39592
sub37,2.0360319,4.95685810616808,2.1214639,1.1682636
sub38,0.45810805,1.575752807249532,2.6554758,0.29669877
sub39,5.0861109,9.194778928980298,1.5460553,2.9736255
sub4,1.7061545,4.8406777333993265,2.5605999,0.94522337
sub40,1.997137,6.0933419467792,2.0089205,1.5165712
sub41,2.3310856,5.576851437376,2.3370874,1.19312
sub42,3.0443173,6.9157433377175,2.6937625,1.2836587
sub43,2.3140813,4.75322382995632,1.8058889,1.3160344
sub44,2.6505912,6.85181488982736,2.3691146,1.4460708
sub45,0.90373241,2.793726914965868,2.8439354,0.49117271
sub46,2.0293242,7.958812142181439,2.3398163,1.7007344
sub47,3.3558014,7.39686658568292,2.3985333,1.5419562
sub48,0.85345777,2.882663637849688,2.0590171,0.70000964
sub49,3.6943087,6.51412048823276,2.1717634,1.4997307
sub5,2.4930914,7.1636926105194805,2.5408894,1.4096821
sub50,3.3840234,8.090554355089699,2.0042779,2.0183215
sub51,2.0548145,5.3872930540990405,2.0091638,1.3406804
sub52,8.5069983,15.2743457154172,2.7673495,2.7597428
sub53,2.2553929,5.4112790814556,2.0201878,1.339301
sub54,2.1821928,5.06987087263856,1.8614668,1.3617946
sub55,2.3050472,5.3843496483744,2.050512,1.3129281
sub56,4.3485775,8.10482406812796,2.1426897,1.8912734
sub57,2.3680894,6.6910631333196005,2.1909345,1.5269884
sub58,3.0355301,6.7897805406816,2.5185468,1.347956
sub59,3.0056267,8.1101558900763,1.7787465,2.2797391
sub6,2.9996986,7.01343968167904,2.4769328,1.4157509
sub60,2.7781272,5.67890830004728,2.1498692,1.3207567
sub61,1.3171615,2.88415239829521,2.4593849,0.58635645
sub62,4.7554472,12.857393543191522,2.0425772,3.1473458
sub63,4.2464962,10.909713289319999,1.9631408,2.7786375
sub64,1.4366481,4.6561732475875,2.774375,0.83913913
sub65,3.5607379,8.3902690493328,2.3782508,1.763958
sub66,8.4417814,18.96942829700072,2.2628998,4.1913982
sub67,4.0797854,9.08471693897312,2.1783326,2.0852456
sub68,3.1490829,8.62709517454176,2.7240216,1.5835218
sub69,5.1880789,11.714453936369601,2.173042,2.6954044
sub7,3.7415236,7.61714022323504,1.8787592,2.0271731
sub70,1.8578736,5.09006371056582,2.2184837,1.1471943
sub71,3.6763434,7.0223946681600005,1.812128,1.93761
sub72,5.4204093,12.7258982375354,2.1351494,2.9800955
sub73,4.67492,10.31427680214492,2.0612349,2.5019654
sub74,3.0235937,5.6347713299598,1.8863666,1.4935515
sub75,3.9544392,9.2734088155324,2.5414774,1.824413
sub76,1.7981835,4.418951177661918,2.4780003,0.89163653
sub77,2.078483,4.85442042190998,1.7700497,1.3712667
sub78,1.5151574,4.355536912740241,1.7787548,1.2243219
sub79,1.1524974,3.0707145033261423,2.0274613,0.75728067
sub8,2.4067715,6.8398450881012,2.0416802,1.675053
sub80,1.1432964,13.0109272678047,2.3022807,2.8256605
sub81,3.3789857,8.214341353641961,2.3533647,1.7452334
sub82,2.024241,5.06265256900026,2.2736207,1.1133459
sub83,1.3820459,4.6017402565320005,2.03479,1.1307654
sub84,1.7568719,4.47040926888576,2.0277568,1.1023041
sub85,1.8784884,5.0735885310264,2.312772,1.0968631
sub86,1.1926224,2.631904616911348,1.8020326,0.73025999
sub87,1.9005225,9.78341471841184,2.4933392,1.9619101
sub88,3.7123007,6.58047805217728,1.9577248,1.6806443
sub89,4.392628,12.52839779059932,2.4164942,2.5922673
sub9,1.5465298,5.758210307179439,2.5153749,1.1446028
sub90,1.7348884,5.0623843194832805,2.5027118,1.0113798
sub91,5.8381496,8.63613837621792,2.2942806,1.8821016
sub92,2.5338114,6.51706648378784,2.3843032,1.3666606
sub93,0.93248423,2.85569797056786,2.479797,0.57579269
sub94,3.2991675,6.8857283769588795,1.8442024,1.8668581
sub95,4.7677105,5.65421560435168,2.1180239,1.3347856
sub96,1.2413469,3.987340994325176,2.4576004,0.81122647
sub97,1.592522,3.857438862286056,2.5661169,0.75161012
sub98,4.746802,11.084303660913001,2.378565,2.3300401
sub99,1.0283646,2.835665828254932,1.7667201,0.80252266
