subject_id,alpha,lambda,beta_mb,beta_mf,stickiness,vmod,a,Ter,z,beta2_rl,beta_equiv_ddm
sub1,0.34321169,0.45837143,4.4602324,2.1698714,0.10760748,3.6662451,1.9165216,0.23207097,0.70952666,6.5102056,14.05287585008832
sub10,0.36846714,0.02967908,0.50061044,0.43878935,-0.065941798,1.0177521,2.2850445,0.36291056,0.79448756,2.098365,4.6512176769369
sub100,0.27345878,0.020265527,1.3479579,2.4590896,1.2567019,0.69934484,2.6837503,0.12704188,0.82946376,1.460493,3.7537338483069034
sub101,0.79709515,0.0331014,1.3825961,3.1495234,2.228388,1.478913,2.1212288,0.19855868,0.74300253,2.2882399,6.2742256965887995
sub102,0.045953509,0.052906024,1.4392389,4.9871845,-0.4921926,0.8259407,3.0135352,0.11807724,0.76102361,1.6542859,4.97800274512528
sub103,0.5717581,0.54585577,1.6121688,2.2446724,1.3935386,0.31596624,2.1677722,0.15016516,0.75102488,0.30669965,1.369885662421056
sub104,0.69955337,0.019652754,6.4903685,2.8456161,1.7427326,2.3245308,1.9966011,0.31345449,0.76741978,5.5537258,9.282321504527758
sub105,0.58413834,0.078902237,2.7494107,1.7497836,2.631085,2.1074234,2.0316601,0.24034905,0.72171339,4.3720718,8.56313607117268
sub106,0.0024437327,0.41022909,2.0133086,2.0137171,0.88062503,1.8682332,2.7935553,0.12893699,0.81427723,1.9232594,10.438025514991919
sub107,0.51812227,0.24301233,1.197496,1.1030917,0.66911583,1.5888453,2.3412106,0.25293313,0.74418744,2.8978479,7.43964291624036
sub108,0.79830612,0.71775326,0.65654418,0.65274044,0.20266746,1.363,1.8338059,0.14902469,0.7611899,1.8135896,4.9989548834
sub109,0.29594117,0.93756134,2.9722011,0.98803848,0.99376572,4.0646536,1.7079177,0.21728683,0.73908374,4.9122877,13.88418765561744
sub11,0.76005468,0.071507608,0.81006416,1.2874843,-0.52811179,0.53746088,2.4383278,0.33476194,0.76846384,0.9324084,2.6210116102329284
sub110,0.79944679,0.087630592,0.47886474,0.75513619,-0.29689833,0.86325109,2.6426969,0.12849265,0.74416035,1.6451503,4.562621958929242
sub111,0.95282518,0.21937765,4.8927851,0.91720872,0.99251933,1.777707,1.8198568,0.13850029,0.75909211,2.9745009,6.470344344715199
sub112,0.50938211,0.88424606,1.5349532,1.942971,-0.35157674,0.36999173,2.4326852,0.22994068,0.74758024,0.63025897,1.800146811386792
sub113,0.33876122,0.73703217,1.47465,0.85031079,0.14515468,0.60040518,1.8097764,0.14133248,0.80460534,0.63371324,2.173198250403504
sub114,0.59172639,0.33751215,1.985382,2.0550925,7.0284117,1.6881594,2.0411057,0.27659118,0.69702724,3.6258645,6.89142354769716
sub115,0.34191283,0.28956679,4.2311516,2.9635858,0.82716776,2.3282014,2.4934349,0.32643879,0.74478401,7.0298233,11.610437249977721
sub116,0.70337844,0.089639671,6.4327327,2.1740951,1.3990393,1.5155935,2.5572097,0.18266889,0.7646249,4.5741284,7.7513807989139005
