subject_id,trials_used,alpha,lambda,beta_mb,beta_mf,beta2,stickiness,beta1_stage1,w_hybrid
sub1,191,0.45612078,0.26334978,4.1051163,2.7860536,6.5102056,-0.038190844,6.8911698999999995,0.5957067318859748
sub10,191,0.53506072,0.03423829,0.40149576,0.24995481,2.098365,-0.093841303,0.65145057,0.6163103978863661
sub100,183,0.23364042,0.016824748,1.0329672,2.0224349,1.460493,0.93884547,3.0554021000000002,0.33807897166791895
sub101,191,0.86161716,0.021237598,1.3213506,3.0139289,2.2882399,2.2632592,4.3352794999999995,0.30479017558152827
sub102,146,0.05850038,0.057438617,1.5949935,4.1632647,1.6542859,-0.57882992,5.7582582,0.2769923550840426
sub103,177,0.80104352,0.047717364,1.5906169,4.0817414,0.30669965,1.0695401,5.6723583,0.28041544907344795
sub104,191,0.7451568,0.014195131,6.1935627,2.6476258,5.5537258,1.7662096,8.841188500000001,0.7005350807756219
sub105,191,0.62914056,0.063132846,2.694126,1.6684571,4.3720718,2.6584098,4.3625831,0.6175529355532505
sub106,183,0.00096894525,0.39682597,2.004535,1.969574,1.9232594,1.1201096,3.9741090000000003,0.5043985960123388
sub107,190,0.52600748,0.22939143,1.1895688,1.1091745,2.8978479,0.66783211,2.2987433,0.5174865762523375
sub108,191,0.85070745,0.66050751,0.59947645,0.63239481,1.8135896,0.23578689,1.2318712600000001,0.48663887978034326
sub109,190,0.2701108,0.94054425,2.89634,0.99326904,4.9122877,1.009256,3.88960904,0.7446352500250256
sub11,180,0.80940333,0.037566735,0.81478849,1.1997197,0.9324084,-0.52793621,2.01450819,0.4044602519089287
sub110,187,0.87183938,0.065144404,0.48781161,0.68286154,1.6451503,-0.28775955,1.17067315,0.41669325891688896
sub111,189,0.91681969,0.20694405,5.6552774,1.0017184,2.9745009,1.0457199,6.6569958,0.8495239549347471
sub112,191,0.50637939,0.88747485,1.5413361,1.9504698,0.63025897,-0.35142409,3.4918059,0.4414151714446671
sub113,188,0.39479437,0.790823,1.4948386,0.81071691,0.63371324,0.21461808,2.30555551,0.6483637429315245
sub114,191,0.5373639,0.4781123,1.988093,2.0513399,3.6258645,7.064486,4.0394328999999995,0.49217131444366863
sub115,189,0.3756429,0.23304291,4.3455305,2.941021,7.0298233,0.83781354,7.2865515,0.5963768320308996
sub116,188,0.6378245,0.11553772,7.0137574,2.3052564,4.5741284,1.3626188,9.3190138,0.7526287170000757
sub117,189,0.59048877,0.69134795,2.2820654,1.7186791,4.0015452,1.2367825,4.0007445,0.5704101824047999
sub118,191,0.68574704,0.04206136,4.7614358,1.3000918,4.4088974,1.4743822,6.0615276,0.7855174659272359
sub119,190,0.87891286,0.016087288,3.8482621,0.73878715,3.1221322,0.73246651,4.58704925,0.8389406544959159
sub12,191,0.67717408,0.21400419,3.9569463,1.6824315,3.7204068,1.2970378,5.6393778,0.7016636303387938
sub120,189,0.81210955,0.16032195,1.5193451,1.5628896,1.1549829,0.04548184,3.0822347,0.49293621280689626
sub121,184,0.22215801,0.042146961,1.107357,1.0066351,1.1991224,0.019850386,2.1139921,0.5238226765369652
sub122,190,0.7065982,0.020084487,2.3356826,2.4327625,4.7899866,1.7091615,4.7684451,0.4898205916222041
sub123,191,0.61432194,0.33439007,1.6359973,1.5865861,2.5107727,1.841038,3.2225834000000004,0.5076663958487466
sub124,191,0.39099412,0.14524374,1.7382711,3.3069088,4.2197404,1.4793036,5.0451799,0.3445409548230381
sub125,187,0.15458332,0.07019257,1.9981793,2.8503186,3.9198968,3.0929931,4.8484979,0.41212337124040005
