subject_id;trials_used;neg_logpost;alpha;beta_mb;beta_mf;beta2;lambda;stickiness;beta1_stage1;w_hybrid;error
sub1;191;158.320718;0.456130;4.105522;2.786215;6.510194;0.263273;-0.038218;6.891737;0.595717;
sub10;191;262.162804;0.321510;0.824971;0.970385;2.639415;0.010570;0.006883;1.795356;0.459503;
sub100;183;233.718717;0.233601;1.035265;2.022103;1.460865;0.016725;0.938882;3.057368;0.338613;
sub101;191;149.657479;0.631949;3.270093;4.588184;1.592895;0.145875;2.248007;7.858276;0.416134;
sub102;146;201.399687;0.058468;1.594677;4.164086;1.654701;0.058796;-0.578763;5.758763;0.276913;
sub103;177;195.499555;0.030841;1.641858;0.820668;1.529200;0.199734;2.059746;2.462526;0.666737;
sub104;191;114.597101;0.745142;6.194652;2.649024;5.553682;0.013941;1.766107;8.843676;0.700461;
sub105;191;102.520211;0.629154;2.693883;1.668616;4.372038;0.063042;2.658447;4.362499;0.617509;
sub106;183;236.613919;0.000927;2.003460;1.970095;1.929489;0.415882;1.120134;3.973556;0.504198;
sub107;190;229.928289;0.525722;1.189371;1.106323;2.898906;0.232908;0.667835;2.295694;0.518088;
sub108;191;257.868991;0.403738;0.261196;1.257328;3.446884;0.088663;0.568797;1.518525;0.172007;
sub109;190;206.124261;0.287869;1.921011;1.306587;4.972326;0.718269;0.940947;3.227598;0.595183;
sub11;180;249.700471;0.065031;1.120627;0.830890;2.667292;0.847370;-0.391323;1.951517;0.574234;
sub110;187;262.479454;0.013599;1.467741;3.910318;3.106860;0.141511;-0.313051;5.378059;0.272913;
sub111;189;184.296114;0.678585;21.012094;1.915700;3.338224;0.856120;1.333720;22.927795;0.916446;
sub112;191;277.672173;0.004099;7.284230;1.685676;0.399904;0.168769;0.362161;8.969907;0.812074;
sub113;188;265.566638;0.006988;2.033103;1.992423;1.987853;0.404321;0.289159;4.025526;0.505053;
sub114;191;86.247518;0.537349;1.988176;2.051511;3.625912;0.476414;7.062509;4.039687;0.492161;
sub115;189;116.744012;0.375680;4.345629;2.942588;7.029860;0.232566;0.837774;7.288217;0.596254;
